City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,katabu,-4.9333,122.5167,31.9,53,100,3.99,ID,1727752365
232,nelson bay,-32.7167,152.15,20.06,60,0,1.79,AU,1727752366
233,koungheul,13.9833,-14.8,25.38,91,100,2.15,SN,1727752367
234,carnarvon,-24.8667,113.6333,22.1,64,0,4.74,AU,1727752368
235,aioun,16.6614,-9.6149,30.48,57,98,7.67,MR,1727752370
236,sihanoukville,10.6093,103.5296,30.97,74,40,4.12,KH,1727752371
237,bankim,6.083,11.4905,19.96,98,100,0.97,CM,1727752273
238,puerto colombia,10.9878,-74.9547,25.05,74,52,4.73,CO,1727752374
239,port macquarie,-31.4333,152.9167,21.15,52,0,2.68,AU,1727752375
240,udachny,66.4167,112.4,0.57,99,100,2.51,RU,1727752376
241,kharan,28.5833,65.4167,27.53,24,0,0.29,PK,1727752200
242,nova vicosa,-17.8919,-39.3719,22.51,78,0,3.32,BR,1727752378
243,san fernando de apure,7.8878,-67.4724,25.31,81,90,1.14,VE,1727752379
244,tatarsk,55.219,75.9828,11.16,57,63,3.51,RU,1727752380
245,vila velha,-20.3297,-40.2925,21.64,97,20,1.34,BR,1727752165
246,kristiansund,63.1115,7.732,10.07,93,100,4.12,NO,1727752382
247,copiapo,-27.3667,-70.3333,13.57,59,8,0.53,CL,1727752361
248,zaio,34.9428,-2.7329,20.42,85,32,1.37,MA,1727752385
249,mount gambier,-37.8333,140.7667,15.98,57,41,3.72,AU,1727752386
250,maloye ganyushkino,46.6,49.2667,13.72,57,0,4.82,KZ,1727752387
251,meizhou,24.2977,116.1072,29.91,65,69,4.27,CN,1727752388
252,port isabel,26.0734,-97.2086,26.02,73,0,3.6,US,1727752389
253,alexandria,31.2156,29.9553,23.99,62,26,4.81,EG,1727752172
254,limeira,-22.5647,-47.4017,22.95,39,1,2.19,BR,1727752391
255,neelankarai,12.9455,80.2575,30.64,83,40,2.57,IN,1727752392
256,itatiaia,-22.4961,-44.5633,18.94,65,0,0.43,BR,1727752303
257,gadzhiyevo,69.2551,33.3362,2.3,80,85,7.39,RU,1727752394
258,dhidhdhoo,6.8833,73.1,27.84,70,93,1.15,MV,1727752395
259,mawlaik,23.6333,94.4167,26.16,86,100,0.33,MM,1727752396
260,afaahiti,-17.75,-149.2833,25.31,79,43,3.95,PF,1727752399
261,kerikeri,-35.2268,173.9474,15.9,72,100,4.28,NZ,1727752400
262,coquimbo,-29.9533,-71.3436,10.85,78,75,2.06,CL,1727752401
263,happy valley-goose bay,53.3168,-60.3315,5.77,81,17,0.64,CA,1727752402
264,moose jaw,50.4001,-105.5344,10.06,32,5,5.25,CA,1727752403
265,el granada,37.5027,-122.4694,22.9,57,100,7.72,US,1727752404
266,woodward,36.4337,-99.3904,22.2,52,0,2.06,US,1727752405
267,manismata,-2.4667,111.0333,28.25,78,100,1.9,ID,1727752406
268,broken hill,-31.95,141.4333,20.23,34,0,5.63,AU,1727752407
269,igarka,67.4667,86.5833,3.53,83,91,7.85,RU,1727752410
270,wanning,18.8003,110.3967,30.9,67,99,0.37,CN,1727752411
271,marsa alam,25.0757,34.8918,27.37,40,0,3.99,EG,1727752412
272,villa hernandarias,-31.231,-59.985,25.64,68,97,2.99,AR,1727752413
273,lebu,-37.6167,-73.65,8.99,85,72,3.63,CL,1727752414
274,port saint john's,-31.6229,29.5448,13.31,46,0,8.06,ZA,1727752415
275,kuzhithurai,8.3167,77.1833,28.89,68,63,1.06,IN,1727752416
276,fort mcmurray,56.7268,-111.381,6.07,53,6,2.57,CA,1727752417
277,alotau,-10.3069,150.4462,28.89,73,63,3.22,PG,1727752418
278,uturoa,-16.7333,-151.4333,26.78,75,45,3.48,PF,1727752421
279,thetford-mines,46.0937,-71.3054,9.69,90,1,2.43,CA,1727752233
280,argo,37.6333,22.7333,17.89,69,0,1.52,GR,1727752424
281,lata,40.1629,-8.3327,15.11,98,100,0.71,PT,1727752425
282,puerto baquerizo moreno,-0.9,-89.6,20.09,87,96,5.02,EC,1727752426
283,ninghai,29.2892,121.4247,25.45,86,49,4.71,CN,1727752274
284,sandefjord,59.1312,10.2167,7.37,99,20,2.06,NO,1727752428
285,kamogatacho-kamogata,34.5333,133.5833,31.48,62,1,5.05,JP,1727752429
286,dakhla,23.6848,-15.958,19.22,91,42,7.56,EH,1727752430
287,parichha,25.5167,78.75,28.11,72,0,4.77,IN,1727752431
288,sardarapat,40.1321,44.0097,12.53,41,100,1.29,AM,1727752432
289,san patricio,28.017,-97.5169,23.97,57,0,4.01,US,1727752433
290,minas de marcona,-15.2119,-75.1103,12.31,90,99,4.39,PE,1727752434
291,muroto-misakicho,33.2833,134.15,25.46,70,66,3.7,JP,1727752435
292,cestos city,5.46,-9.5828,24.2,94,99,3.16,LR,1727752436
293,n'djamena,12.1067,15.0444,27.33,54,65,1.35,TD,1727752429
294,vic-en-bigorre,43.3833,0.05,12.98,93,5,1.06,FR,1727752439
295,st. paul,44.9444,-93.0933,18.21,44,0,9.77,US,1727752182
296,consolacion del sur,22.5047,-83.5136,25.28,93,58,2.06,CU,1727752441
297,las cruces,32.3123,-106.7783,29.06,22,0,3.6,US,1727752442
298,zapolyarnyy,69.4154,30.8136,1.56,85,100,6.93,RU,1727752443
299,rongelap,11.1635,166.8941,28.52,77,100,5.79,MH,1727752444
300,monteros,-27.1674,-65.4983,28.34,25,1,2.87,AR,1727752445
301,nantucket,41.2835,-70.0995,15.64,94,0,5.47,US,1727752344
302,quesnel,52.9999,-122.5029,6.29,92,100,1.41,CA,1727752447
303,bengkulu,-3.8004,102.2655,29.35,67,40,1.88,ID,1727752448
304,obanazawa,38.6033,140.4019,27.07,58,0,1.47,JP,1727752436
305,huarmey,-10.0681,-78.1522,17.72,88,83,4.21,PE,1727752451
306,cooper's town,26.8667,-77.5167,28.44,73,100,4.56,BS,1727752452
307,isangel,-19.55,169.2667,26.06,78,75,2.57,VU,1727752453
308,port blair,11.6667,92.75,29.02,84,40,2.06,IN,1727752454
309,ventspils,57.3894,21.5606,-0.04,100,0,1.03,LV,1727752455
310,sao jose da coroa grande,-8.8978,-35.1478,23.47,80,96,3.96,BR,1727752457
311,codrington,-38.2667,141.9667,14.47,68,0,6.4,AU,1727752458
312,luderitz,-26.6481,15.1594,11.48,53,0,5.72,NA,1727752459
313,mersa matruh,31.3525,27.2453,24.48,63,99,7.1,EG,1727752460
314,jugsalai,22.7667,86.1833,29.99,84,75,2.06,IN,1727752461
315,toliara,-23.35,43.6667,23.18,71,3,2.35,MG,1727752463
316,al hudaydah,14.7978,42.9545,31.35,70,83,2.99,YE,1727752465
317,egilsstadir,65.2653,-14.3948,1.75,89,100,3.47,IS,1727752466
318,las lomitas,-24.7096,-60.593,31.99,26,0,3.21,AR,1727752467
319,gizo,-8.103,156.8419,28.97,71,81,1.22,SB,1727752468
320,geraldton,-28.7667,114.6,26.23,34,0,5.66,AU,1727752469
321,qaqortoq,60.7167,-46.0333,3.9,96,100,1.1,GL,1727752470
322,angaur state,6.906,134.13,28.89,75,100,5.24,PW,1727752471
323,kuala terengganu,5.3302,103.1408,29.36,71,100,1.24,MY,1727752472
324,tanhacu,-14.0214,-41.2481,19.78,80,2,2.89,BR,1727752473
325,colares,38.7992,-9.4469,20.18,84,100,3.68,PT,1727752475
326,soto la marina,23.7667,-98.2167,23.33,87,8,1.65,MX,1727752476
327,vernon,50.2581,-119.2691,14.31,52,100,0.53,CA,1727752218
328,clemencia,10.5665,-75.325,25.65,79,71,3.1,CO,1727752478
329,guarapari,-20.6667,-40.4975,20.57,91,0,2.97,BR,1727752479
330,porkhov,57.765,29.5561,4.46,76,100,3.59,RU,1727752480
331,westport,41.1415,-73.3579,17.08,82,0,4.12,US,1727752393
332,suratgarh,29.3167,73.9,34.28,30,0,3.36,IN,1727752482
333,les cayes,18.2,-73.75,26.42,82,0,1.48,HT,1727752483
334,voss,60.623,6.4229,7.5,83,100,1.89,NO,1727752484
335,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.54,GF,1727752485
336,praia da vitoria,38.7333,-27.0667,23.07,87,56,6.25,PT,1727752486
337,kichmengskiy gorodok,59.9816,45.7854,2.17,88,100,1.52,RU,1727752488
338,anzio,41.4853,12.6179,18.03,66,0,1.02,IT,1727752489
339,semera,11.501,41.201,28.78,53,100,2.63,ET,1727752490
340,lilongwe,-13.9669,33.7873,20.71,45,0,1.94,MW,1727752491
341,louny,50.357,13.7967,8.59,86,99,2.24,CZ,1727752492
342,cibla,56.55,27.8833,4.96,65,100,4.44,LV,1727752493
343,gamba,-2.65,10.0,23.81,91,100,2.64,GA,1727752494
344,arraial do cabo,-22.9661,-42.0278,22.25,91,0,12.21,BR,1727752495
345,tofol,5.3248,163.0078,31.88,66,75,2.06,FM,1727752496
346,palmer,42.1584,-72.3287,14.18,77,40,0.0,US,1727752497
347,cabo san lucas,22.8909,-109.9124,28.2,88,0,2.06,MX,1727752498
348,kuraymah,18.55,31.85,29.7,17,15,5.52,SD,1727752438
349,sao tome,0.3365,6.7273,25.45,83,86,3.34,ST,1727752502
350,navia,43.5354,-6.7194,19.01,83,100,2.66,ES,1727752503
351,akbarabad,29.2464,52.7793,17.14,39,0,1.26,IR,1727752504
352,manta,-0.95,-80.7333,21.88,83,40,5.14,EC,1727752232
353,khor,47.8861,134.9464,8.97,62,100,3.38,RU,1727752506
354,felipe carrillo puerto,19.5833,-88.05,24.32,99,100,1.16,MX,1727752507
355,cidreira,-30.1811,-50.2056,19.88,86,68,4.1,BR,1727752272
356,manokwari,-0.8667,134.0833,29.3,68,100,4.29,ID,1727752509
357,crestview,30.7621,-86.5705,24.58,90,40,0.0,US,1727752373
358,baardheere,2.3446,42.2764,24.93,71,64,3.53,SO,1727752511
359,kamo,37.65,139.05,28.67,66,0,2.45,JP,1727752512
360,el abiodh sidi cheikh,32.893,0.5484,23.2,49,0,1.18,DZ,1727752514
361,east london,-33.0153,27.9116,12.58,55,17,10.18,ZA,1727752302
362,hadibu,12.65,54.0333,25.23,83,12,2.43,YE,1727752516
